hour_of_day,avg_temp
0,24.71973684210527
1,23.853272727272724
2,23.24510638297872
3,24.640645161290323
4,24.873142857142856
5,25.363170731707314
6,26.049599999999995
7,26.023947368421055
8,24.577454545454536
9,23.416046511627908
10,26.221463414634144
11,25.858620689655176
12,24.092000000000002
13,25.20096153846155
14,24.692608695652176
15,25.826969696969694
16,24.827187499999997
17,23.699444444444445
18,25.310952380952376
19,26.306271186440686
20,25.508749999999996
21,25.244651162790696
22,25.744500000000006
23,24.46574468085106
